nama_produk,kategori_versi_awal,kategori_seharusnya,versi_awal_benar
Paket Lengkap Selang + regulator Kompor Gas Original 100% Kwalitas Terbaik,Pertukangan,Pertukangan,True
Erigo Hoodie Pullover Aveline Black,Fashion,Fashion,True
Sepatu Sandal Pria NIKE VISTA DJ6605201 ORIGINAL,Fashion,Fashion,True
Homesleeping - Sarung Guling 30x90 / 30x100 Plain / Polos Minimalis,Fashion,Rumah Tangga,False
Parfum Original Fragrance World F Le Parfum For Men Edp 100 ml,Kesehatan & Kecantikan,Kesehatan & Kecantikan,True
KURMA GOLDEN VALLEY PREMIUM QUALITY KURMA MESIR,Makanan & Minuman,Makanan & Minuman,True
Sorban Panjang Kashmiri Merah Hijau Krem Hitam Habib Import,Lainnya,Fashion,False
NEW ACE KRIS PARUTAN DENGAN KERANJANG WADAH ALAT PARUT GRATER PEMARUT KEJU,Makanan & Minuman,Rumah Tangga,False
Hanasui Mattedorable Lipstick 2g/Lipstik/Lip Matte,Kesehatan & Kecantikan,Kesehatan & Kecantikan,True
Pashmina Viscose Shawl Premium - Jannedt.id,Fashion,Fashion,True
Usus Ayam Tepung Original @250gr .RICH,Makanan & Minuman,Makanan & Minuman,True
Lemari pakaian 3 pintu minimalis dengan cermin dan laci DIAMOND SERIES,Rumah Tangga,Rumah Tangga,True
BM-Meja Belajar lipat portable buat jualan mini kamar aesthetic,Rumah Tangga,Rumah Tangga,True
Tabung Oksigen 1 m3. Termasuk isi oksigen.,Kesehatan & Kecantikan,Kesehatan & Kecantikan,True
Kemeja Batik Empati Sutra Super Tulis Terbaik,Fashion,Fashion,True
LOGITECH G213 PRODIGY RGB Gaming Keyboard Full Size,Elektronik,Elektronik,True
Handuk Mandi Eternal Terry Palmer Original - Handuk Hampers/ Gift,Rumah Tangga,Rumah Tangga,True
Mukena Couple Ibu dan Anak Motif Cantik Rayon Handprint Terbaik Atasan Nyaman Panjang Muslim,Fashion,Fashion,True
Samono Mini Chopper Portable SW-L6 Blender Kapasitas 450ml Penggiling Bumbu,Elektronik,Elektronik,True
Cypruz Spatula Silikon Set Motif Tahan Panas Anti Lumer 3 pcs,Rumah Tangga,Rumah Tangga,True
"Realme Watch 2 Garansi Resmi Smartwatch Layar 1.4"" IPS LCD",Handphone,Elektronik,True
Netline HDMI Extender 200Meter Over Kabel Lan Cat6,Elektronik,Elektronik,True
KAOS KAKI JEMPOL SOKA ORIGINAL BASIC BLACKSOLE UKURAN M SOKA SOCK,Fashion,Fashion,True
Plafon Pvc Motif Serat Kayu Putih Alfafon,Pertukangan,Pertukangan,True
DELUXE PLUS SPRINGBED KASUR MATRAS MINIMALIS SPRINGBED DELUXE TERLARIS,Olahraga,Rumah Tangga,False
CARESO Wild Orchid - Body Fragrance 100ml,Kesehatan & Kecantikan,Kesehatan & Kecantikan,True
Indomie Mie Instant Goreng Spesial 85 Gram,Makanan & Minuman,Makanan & Minuman,True
VIRAL DAN PALING LARISSS!!! Jam Tangan Android Whatsapp Pintar,Fashion,Elektronik,False
Mouse Murah Kualitas Bagus kabel Heatz ZM59 / Mouse Kabel USB,Elektronik,Elektronik,True
IKEA MAMMUT Meja Belajar Kecil Anak Dalam/Luar Ruangan Plastik,Rumah Tangga,Rumah Tangga,True
Fish roll 500gram shifudo sumber frozen makmur,Makanan & Minuman,Makanan & Minuman,True
VBELT OMEGA B26 B27 B28 B29 B30 B31 B32 B33 B34 B35 FANBELT MESIN INDUSTRI OFFICIAL STORE,Lainnya,Pertukangan,False
lohansung cincuan blue buat stek,Lainnya,Rumah Tangga,False
Mainan Emco Cotton Candy Cones Mainan Boneka Charm,"Ibu, Bayi & Mainan","Ibu, Bayi & Mainan",True
kacamata hitam polos polari,Fashion,Fashion,True
Granit motif 3D,Lainnya,Pertukangan,False
Pulley motor kompresor Shark 2Hp,Otomotif,Pertukangan,False
Grosir 10 Pcs Sarung Sapphire motif Lilin 7 Warna,Fashion,Fashion,True
Sepatu boot pria / tracking hiking motoris biker kulit asli HJD 827,Olahraga,Olahraga,True
Polident 3D Hold Freshmint 60 g - Lem Gigi Palsu,Kesehatan & Kecantikan,Kesehatan & Kecantikan,True
CUCI GUDANG Mi Wolf Keyboard Gaming Mekanikal RGB,Elektronik,Elektronik,True
Audio Technica Headset ATH-M20xBT Wireless Over Ear Headphones,Elektronik,Elektronik,True
Mipacko Handuk Travel Microfiber Mipacko Ringan Menyerap + Tas Model Terbaru,Fashion,Rumah Tangga,False
Rak Sepatu Sliding 6 Susun / Lemari Sepatu Pintu Sliding,Fashion,Rumah Tangga,False
ARA BELL PARFUME WANITA EAU DE PARFUME TAHAN LAMA,Lainnya,Kesehatan & Kecantikan,False
Mainan Edukasi Anak Transparan School Bus Bump And Go Toys Light Sound,"Ibu, Bayi & Mainan","Ibu, Bayi & Mainan",True
Rak Dinding Model Gantung Besi Serbaguna Alika Furniture - Set 3 Susun,Rumah Tangga,Rumah Tangga,True
Miracle Jewelry - Cincin Wanita Straight Arm Snowflake Adjustable ring,Perhiasan,Perhiasan,True
Manset Gamis Jersey Spandek Daleman Busana Muslim Jubah Long Dress Inner Panjang,Olahraga,Fashion,False
PC Kantor Terbaik Intel Gen 12 - Intel Core i3-12100 / i5-12400 / i7-12700 | RAM 16GB | SSD M2 NVMe 512GB,Elektronik,Elektronik,True
Lip Serum | BPOM | ORIGINAL| Bibir Niacinamide Vitamin,Kesehatan & Kecantikan,Kesehatan & Kecantikan,True
Royal Care Salep Anti Jamur / Salep Ajaib Kucing Anjing,Hewan Peliharaan,Hewan Peliharaan,True
SORCERY 925 Silver Ring RST Cincin Perak Emas 18K Real Gold,Perhiasan,Perhiasan,True
Masker pelindung wajah - masak / las serbaguna Full Face muka Protective Mask,Kesehatan & Kecantikan,Kesehatan & Kecantikan,True
Promo Sanrio Cinnamoroll Gumball Machine Umbrella 35cm Limited,Lainnya,Rumah Tangga,False
[DISKON 50%] MINISO Tas Tangan Handbag Top-handle Bags Tas Pundak Mode Pola Batu,Fashion,Fashion,True
pendingin ruangan kipas angin AC cooler SEPAKET TERMURAH isi 6pcs,Elektronik,Elektronik,True
RECORD AURORA SEPATU SEKOLAH ANAK SMP SMA PEREMPUAN HITAM POLOS/PUTIH TALI 33-40,Fashion,Fashion,True
Benang Polyester Star Elephant 180gr,Rumah Tangga,Rumah Tangga,True
Kembang Api Kawat ukuran Super Jumbo 1 Pack Isi 5btg / Bunga Api Kawat,Pertukangan,Lainnya,False
Clio Botol Air Minum Plastik / Water Bottle,Rumah Tangga,Rumah Tangga,True
CAP LANG BALSEM 20 GRAM POT,Rumah Tangga,Kesehatan & Kecantikan,False
MESIN JAM DINDING MIRADO QUARTZ HIGH QUALTY /MESIN MIARDO ORIGINAL/MESIN JAM DINDING BERKUALITAS/MESIN JAM DINDING PREMIUM,Rumah Tangga,Rumah Tangga,True
Jaket The North Face Women Original,Fashion,Fashion,True
MEJA BELAJAR 150 MURAH KARAKTER / CHIBI MEJA BELAJAR MBB 150,Rumah Tangga,Rumah Tangga,True
TUMBLER UNIK BEAR BINTANG - BOTOL MINUM 500 ML,Rumah Tangga,Rumah Tangga,True
PROJECT NINETYSEVEN - FORGE Bangle - Gelang Pria Wanita Titanium Anti Karat Simple Elegan Mewah,Perhiasan,Perhiasan,True
Gaizka - MELIORA SHIRT - Atasan Wanita Jumbo Mutiara Panjang Motif Biru,Perhiasan,Fashion,False
MIYAKO DISPENSER GALON BAWAH MIYAKO WDP 300 WDP-300 BDG INSTANT,Elektronik,Elektronik,True
J4 - Cenlana Rambut Palsu Model Jepitan Tinggi Bergelombang Ala Duyung,Kesehatan & Kecantikan,Kesehatan & Kecantikan,True
Kasur Original Inoac Ukuran 200X145X15Cm Gratis Bantal Garansi 20Tahun,Rumah Tangga,Rumah Tangga,True
Buku Novel Remaja Kado Terbaik Soft Cover / GRAMEDIA PUSTAKA UTAMA,Buku & Alat Tulis,Buku & Alat Tulis,True
Kaos Kaki Pendek Wanita Sleeping Cat Sock Motif Kucing Tidur GH 103356,Hewan Peliharaan,Fashion,False
"Anting Japit Motif Bintang Anti Karat Dan Luntur - 1 Pcs Anting Jepit Bintang Kejora, Silver",Perhiasan,Perhiasan,True
Chard Wake Cincin Wanita Original Berlian Perhiasan Antik Korea Cincin Cewek Rings,Perhiasan,Perhiasan,True
Sarung Gajah Duduk Premium Limited Edition Motif Batik,Fashion,Fashion,True
Gently Baby Hydra Soft Body Lotion 150 gr,"Ibu, Bayi & Mainan","Ibu, Bayi & Mainan",True
CUSSONS KIDS Hair & Body Cologne Strawberry - 100ml,Kesehatan & Kecantikan,Kesehatan & Kecantikan,True
DISKON - Buku Mantra Covert Selling,Buku & Alat Tulis,Buku & Alat Tulis,True
Paket Toa masjid atau musholla,Elektronik,Elektronik,True
【HARMOTID】Anting Titanium Panjang Korea Anti Karat Perak Aksesoris Wanita Anting Rumbai Perhiasan Cantik Murah Anting -anting Desain Selera Desain,Perhiasan,Perhiasan,True
Kotagede Jewellery Cincin Emas Wanita Putih 18K Premium,Perhiasan,Perhiasan,True
Scoop Dekorasi Dinding Cermin Fabulous 59350501,Rumah Tangga,Rumah Tangga,True
Breakside Polo Cap Azura Cream Topi Pria Original Official Store,Fashion,Fashion,True
AC SHARP AH-A5BMY 1/2 PK Plasmacluster R32 | ac sharp 5 bmy NEW 2023,Elektronik,Elektronik,True
Kaos Kaki Wanita Motif,Fashion,Fashion,True
Botol Eiger Coffee Travel Tumbler 350ML Bottle,Rumah Tangga,Rumah Tangga,True
Jam Tangan Wanita Analog Alexandre Christie 1007AC AC1007 AC 1007 AC 1007 LDLRGLNBO Original Garansi Resmi,Elektronik,Fashion,False
(Termurah) Paket Isi 16 Buku Cerita Fabel Hewan Full Color dan Bergambar,Buku & Alat Tulis,Buku & Alat Tulis,True
Mobeliving - Set Meja Makan Minimalis Elegan dengan Top Table Marble,Rumah Tangga,Rumah Tangga,True
"Co Card ID 10,5 x 14 CM Tali Kur Kartu Panitia Peserta Name Tag Seminar Ospek",Buku & Alat Tulis,Buku & Alat Tulis,True
Osgood - Traveling Sandals - Wanita - Terra Geel (yellow),Lainnya,Fashion,False
Tas Selempang Hp 6.5 Inch OZONE 852,Handphone,Handphone,True
SEMEN GARUDA 40 KG SEMEN MURAH 40 KG,Pertukangan,Pertukangan,True
Guling Memory Foam Royalpillo Vablo 1 Pcs 22 x 90 CM,Rumah Tangga,Rumah Tangga,True
[JAMAS Carpet] Karpet Bulu Halus Lembut New Alabama 120x180 cm,Rumah Tangga,Rumah Tangga,True
Stanley STEL-146 Mesin Bor Impact 13mm,Pertukangan,Pertukangan,True
TERMURAH - RAW FOOD AYAM GILING 1 KG,Makanan & Minuman,Hewan Peliharaan,False
Buku Mans Search For Meaning - Viktor E. Frankl,Buku & Alat Tulis,Buku & Alat Tulis,True
ESGE TAPLAK MEJA MAKAN PEVA ANTI AIR MOTIF BATIK PLAID,Fashion,Rumah Tangga,False
Diecast 1:32 Pajero Sport Koleksi Pajangan Miniatur Hadiah Mainan Mobil SUV OFFROAD Klasik Alloy Car,Otomotif,"Ibu, Bayi & Mainan",False
[Special Price] KOZE Premium Comfort Long Sleeve - Kaos Polos Lengan Panjang SALE,Fashion,Fashion,True
"CETAK TALI LANYARD PRINTING 1,5 CM DESAIN BEBAS BISA SATUAN",Buku & Alat Tulis,Buku & Alat Tulis,True
Gelang Emas Estella Shine Gold 10K Semar Nusantara - Limited Edition,Perhiasan,Perhiasan,True
KURTA NAWAM,Lainnya,Fashion,False
Tas Selempang Pria Wanita - Gambar 1,Fashion,Fashion,True
TCL Ultimate QLED FHD TV 32 inch V5C - HDR 10 - Dolby Audio - Google TV (Model: 32V5C),Elektronik,Elektronik,True
Masker Respirator Kimia Debu,Kesehatan & Kecantikan,Kesehatan & Kecantikan,True
MYKONOS Luminos Extrait de Parfum 50 ml for Unisex Mykonos Parfum Wanita / Pria,Kesehatan & Kecantikan,Kesehatan & Kecantikan,True
Rider T-Shirt - Kaos Dalam Pria Round Neck R223BWH Warna Hitam isi 1 Pcs,Fashion,Fashion,True
Roschel Electric Oven Low Watt 21 L ROV-210,Elektronik,Elektronik,True
Azarine Hydrasoothe Sunscreen Gel SPF45+++,Kesehatan & Kecantikan,Kesehatan & Kecantikan,True
Ikat Pinggang Pria Actually Arei Outdoorgear,Fashion,Fashion,True
Balsem Otot | LebihMindful,Lainnya,Kesehatan & Kecantikan,False
Sandal Eiger Verdant Roll Strap,Fashion,Fashion,True
SOMETHINC Diamond Glow PyhtoCell Serum - Anti Aging,Kesehatan & Kecantikan,Kesehatan & Kecantikan,True
Papan Renang Anak / Papan Pelampung / Papan Seluncur Anak Outdoor,Olahraga,Olahraga,True
Rexus X15 Xierra Gaming Mouse Macro with RGB LED Light USB Connection,Elektronik,Elektronik,True
IKEA LILLABO Mainan Mobil / Mobil-mobilan Anak Set Isi 4pcs,Otomotif,"Ibu, Bayi & Mainan",False
Monitor Xiaomi G24i LED 24 Inch IPS 200Hz 1ms HDMI Display Port,Handphone,Elektronik,False
Gantungan Kunci Karakter Lucu Bahan Karet Tebal Premium l Keychain Karakter | Gantungan Tas Karakter Lucu,Fashion,Fashion,True
024 Jam Dinding Shaby Chic Kayu Unik Angka Romawi,Rumah Tangga,Rumah Tangga,True
Variant FG-35 - Tas Belanja - Tas Spunbond - Tas Jinjing - Tas Souvenir - Tas Jinjing Wanita - Tas Lipat,Fashion,Fashion,True
GORDEN PINTU TALI MINIMALIS / TIRAI PINTU KAMAR UKURAN 80X200CM,Rumah Tangga,Rumah Tangga,True
Paket MP3 Dakwah Islami & Tilawatil Quran Terbaik Flash disk + OTG,Lainnya,Elektronik,False
Sun Moon Printing Tumbler Mini Custom Cetak UV Nama/Foto 280 ml,Rumah Tangga,Rumah Tangga,True
Anting Tusuk Giwang Model Clover Perak Asli Silver 925 Lapis Emas Putih - Model Terbaru Fashion Korea,Perhiasan,Perhiasan,True
Adaptor Charger LENOVO 20V 2.25A 45W USB Pin,Handphone,Elektronik,False
Polytron Playback JF0501-19577 Kualitas Terbaik Tws Headset,Elektronik,Elektronik,True
Case HP Lagu SPOTIFY Terbaru! Semua Jenis HP dan Bisa Request!,Handphone,Handphone,True
Jam dinding Metal vertikal Decoration / dekorasi jam hias rumah / Hiasan rumah jam dekorasi mewah pajangan,Rumah Tangga,Rumah Tangga,True
