nama_produk,kategori,nama_toko,lokasi_toko,kota,provinsi,harga,diskon,terjual,jumlah_ulasan,rating,url
Super Premium Beef Prime Cut - Dog Cat Raw food,Hewan Peliharaan,RumahBully,Kota Administrasi Jakarta Timur,Jakarta,DKI Jakarta,59999,0.0,500,5,5.0,https://www.tokopedia.com/rumahbully/super-premium-beef-prime-cut-dog-cat-raw-food
Chicken REGULER - Raw Food Ayam Giling 1kg Daging 60% Tulang Halus 40%,Hewan Peliharaan,Tokopedia Seller,Jakarta Selatan,Jakarta,DKI Jakarta,14000,0.0,1000,0,5.0,https://www.tokopedia.com/search?q=raw+food+1kg
Ayam Daging Giling Ekonomis 1kg Raw Dog Cat Food Makanan Anjing Kucing Murah,Hewan Peliharaan,Tokopedia Seller,Kota Administrasi Jakarta Utara,Jakarta,DKI Jakarta,13500,10.0,1000,0,4.9,https://www.tokopedia.com/search?q=raw+food+ayam+murah
Pure Turkey Meat 1 KG Dog Cat Raw Food Makanan Anjing Kucing,Hewan Peliharaan,Tokopedia Seller,Jakarta Barat,Jakarta,DKI Jakarta,25000,0.0,40,0,5.0,https://www.tokopedia.com/search?q=raw+meat+cat+food
Rabbit All In - Dog & Cat Super Raw Food - Daging Kelinci Untuk Makanan Anjing & Kucing,Hewan Peliharaan,Tokopedia Seller,Indonesia,,,15000,0.0,0,0,,https://www.tokopedia.com/search?q=raw+food+kucing
Ayam mix Sapi Raw food giling makanan anjing (dogfood chicken+beef),Hewan Peliharaan,Ultimate Raw Food,Tangerang,Tangerang,Banten,24000,0.0,3500,1200,5.0,https://www.tokopedia.com/ultimaterawfood/ayam-mix-sapi-raw-food-giling-makanan-anjing-dogfood-chicken-beef
"Primal Kibble In The Raw Dog Food 1,5 lb Terbaik",Hewan Peliharaan,three dots,Jakarta Barat,Jakarta,DKI Jakarta,1229000,0.0,50,15,5.0,https://www.tokopedia.com/threedots/primal-kibble-in-the-raw-dog-food-1-5-lb
The Honest Recipe Chicken Pear & Spirulina Raw Dog food - Puppy,Hewan Peliharaan,Lush Pets Co.,Jakarta Selatan,Jakarta,DKI Jakarta,92000,0.0,40,25,5.0,https://www.tokopedia.com/lushpetsco/the-honest-recipe-chicken-pear-spirulina-raw-dog-food-puppy
Life Cat Plus Kaleng 400gr Makanan Basah Kucing Can Wet Food Kitten Adult Raw Real Fish,Hewan Peliharaan,Toko Hewan Surabaya,Surabaya,Surabaya,Jawa Timur,18800,28.0,30,10,5.0,https://www.tokopedia.com/tokohewan/life-cat-plus-kaleng-400gr-makanan-basah-kucing
San Pet Kitchen Raw Food For Pet Dog Cat Makanan Hewan Peliharaan Anjing Kucing 500g,Hewan Peliharaan,San Pet Kitchen,Jakarta Pusat,Jakarta,DKI Jakarta,38000,0.0,500,150,4.9,https://www.tokopedia.com/sanpetkitchen/san-pet-kitchen-raw-food-for-pet-dog-cat-500g
Nutriale Chicken with Cooked Salmon and Tripe Raw Dogs and Cats Food - 500gr,Lainnya,Nutriale Official,Tangerang Selatan,Tangerang Selatan,Banten,38000,0.0,250,80,5.0,https://www.tokopedia.com/nutriale/nutriale-chicken-with-cooked-salmon-and-tripe-500gr
AYRUS CAT FOOD - Raw Food For Cats 250 Gram / Makanan Basah Untuk Kucing,Hewan Peliharaan,Ayrus Petshop,Depok,Depok,Jawa Barat,18000,0.0,100,60,4.8,https://www.tokopedia.com/ayruspet/ayrus-cat-food-raw-food-for-cats-250-gram
Raw Rawr Lamb Raw Freeze Dried Dog & Cat Food,Hewan Peliharaan,Pawrents ID,Jakarta Utara,Jakarta,DKI Jakarta,90000,0.0,100,34,5.0,https://www.tokopedia.com/pawrentsid/raw-rawr-lamb-raw-freeze-dried-dog-cat-food
DOMBA – Lamb Minced Raw Food for Dog & Cat,Hewan Peliharaan,Ultimate Raw Food,Tangerang,Tangerang,Banten,32000,0.0,500,200,4.9,https://www.tokopedia.com/ultimaterawfood/domba-lamb-minced-raw-food-for-dog-cat
COUCOU Dog Food Balance / Care Free Freeze-Dried Raw LAMB For Puppies 1 Kg,Hewan Peliharaan,Coucou Official Store,Bekasi,Bekasi,Jawa Barat,59872,5.0,100,45,5.0,https://www.tokopedia.com/coucou/coucou-dog-food-balance-freeze-dried-raw-lamb-1kg
Raw Rawr Lamb Raw Freeze Dried Dog & Cat Food - 40 gram,Hewan Peliharaan,Lush Pets Co.,Jakarta Utara,Jakarta,DKI Jakarta,90000,0.0,24,24,5.0,https://www.tokopedia.com/lushpets/raw-rawr-lamb-raw-freeze-dried-dog-cat-food-40-gram
Nutriale Chicken with Cooked Salmon and Tripe Raw Dogs and Cats Food - 500gr,Lainnya,Lush Pets Co.,Jakarta Utara,Jakarta,DKI Jakarta,38000,0.0,250,250,5.0,https://www.tokopedia.com/lushpets
PAPILLON Makanan Anjing RAW Beef and Buffalo Tripe 1kg,Hewan Peliharaan,Gulapaws Indonesia,Jakarta Utara,Jakarta,DKI Jakarta,95000,0.0,2,2,5.0,https://www.tokopedia.com/gulapaws
Pet Kingdom Papillon 1 kg Makanan Anjing Basah Raw Chicken & Pumpkin Liver,Hewan Peliharaan,Pet Kingdom ID,Jakarta Utara,Jakarta,DKI Jakarta,60000,0.0,23,23,4.9,https://www.tokopedia.com/pet-kingdom
Papillon Goat Milk 500 ml Natural Unpasteurized,Lainnya,Papillon Dogs Bakery,Jakarta Utara,Jakarta,DKI Jakarta,34500,23.0,8000,8000,5.0,https://www.tokopedia.com/papillondogs
RAW FOOD DAGING GILING AYAM STANDAR 1 KG,Hewan Peliharaan,Toko Daging Segar,Bekasi,Bekasi,Jawa Barat,14250,5.0,1000,1000,4.7,https://www.tokopedia.com/search?q=raw+food+daging+giling+ayam
Premium Raw Food / Dog Food / Cat Food / Ayam Giling / Chicken Bone-In,Hewan Peliharaan,Fresh Meat Shop,Tangerang Selatan,Tangerang Selatan,Banten,18500,0.0,1000,1000,5.0,https://www.tokopedia.com/search?q=premium+raw+food+ayam+giling
Raw Food Dog Food Daging Ayam giling tulang KASAR makanan anjing 1kg,Hewan Peliharaan,Pet Food Center,Jakarta Pusat,Jakarta,DKI Jakarta,12500,0.0,6000,6000,5.0,https://www.tokopedia.com/search?q=raw+food+dog+food+daging+ayam
Daging Raw Food Kelinci Rabbit Regular Giling Untuk Anjing / Kucing 500 GRAM,Hewan Peliharaan,Rabbit Meat Specialist,Indonesia,,,20000,0.0,1000,1000,5.0,https://www.tokopedia.com/search?q=daging+raw+food+kelinci
PAKET PROMO 5Kg-RAWFOOD-RAW FOOD ayam giling halus utk anjing-kucing,Hewan Peliharaan,Promo Pet Shop,Jakarta Pusat,Jakarta,DKI Jakarta,68000,0.0,1000,1000,5.0,https://www.tokopedia.com/search?q=paket+promo+5kg+rawfood
"RAW DOG FOOD CHICKEN WITH LIVER, PUMPKIN AND EGGS",Hewan Peliharaan,Healthy Pet Food,Jakarta Barat,Jakarta,DKI Jakarta,34800,0.0,10000,10000,5.0,https://www.tokopedia.com/search?q=raw+dog+food+chicken+liver
Beef REGULER – Raw Food Sapi Giling 1kg,Hewan Peliharaan,Beef Raw Shop,Bekasi,Bekasi,Jawa Barat,30000,0.0,250,250,4.6,https://www.tokopedia.com/search?q=beef+reguler+raw+food+sapi
Dog & Cat Raw Food - Fresh Lamb Meat,Hewan Peliharaan,RumahBully,Jakarta Timur,Jakarta,DKI Jakarta,45000,0.0,4950,0,4.9,https://www.tokopedia.com/rumahbully
"Beef & Buffalo with Tripe, Green Beans & Carrot 1 Kg - Papillon Rawfood",Lainnya,Papillon Rawfood,Jakarta Utara,Jakarta,DKI Jakarta,92500,3.0,500,0,5.0,https://www.tokopedia.com/papillonrawfood
rawfood filet dada ayam dogfood catfood dog food cat food,Hewan Peliharaan,Rawfood. Bandung,Bandung,Bandung,Jawa Barat,22500,0.0,2000,0,5.0,https://www.tokopedia.com/rawfood-bandung
RumahBully | Cat Food Series Lamb N' Tuna / Premium Raw Food Kucing,Hewan Peliharaan,RumahBully JAKSEL,Jakarta Selatan,Jakarta,DKI Jakarta,24999,0.0,100,681,4.9,https://www.tokopedia.com/rumahbullyjaksel
Pure Turkey Meat Dog Food Cat Food 1kg,Hewan Peliharaan,RumahBully Bandung,Bandung,Bandung,Jawa Barat,88000,0.0,0,0,,https://www.tokopedia.com/rumahbullybandung
TERMURAH - RAW FOOD AYAM GILING 1 KG,Hewan Peliharaan,DENA MEAT,Kota Bekasi,Bekasi,Jawa Barat,15000,0.0,10000,6613,5.0,https://www.tokopedia.com/denameat/termurah-raw-food-ayam-giling-1-kg
RAWFOOD-RAW FOOD 1Kg daging SAPI-BEEF giling halus untuk anjing,Hewan Peliharaan,Gummy Rawfood Id,Kota Administrasi Jakarta Pusat,Jakarta,DKI Jakarta,42000,0.0,,0,5.0,https://www.tokopedia.com/gummyrawfoodid/rawfood-raw-food-1kg-daging-sapi-beef-giling-halus-untuk-anjing
RAW FOOD CHICKEN PREMIUM,Hewan Peliharaan,Petlove Center,Kota Tangerang Selatan,Tangerang Selatan,Banten,25000,0.0,500,125,5.0,https://www.tokopedia.com/petlovecenter/raw-food-chicken-premium
RAW FOOD LAMB,Hewan Peliharaan,Petlove Center,Kota Tangerang Selatan,Tangerang Selatan,Banten,75000,0.0,250,50,5.0,https://www.tokopedia.com/petlovecenter/raw-food-lamb
Nutriale Liver Support Therapeutic Recipe Raw Dog Food - 500gr,Hewan Peliharaan,Lush Pets Co,Kota Administrasi Jakarta Utara,Jakarta,DKI Jakarta,100000,0.0,100,20,5.0,https://www.tokopedia.com/lushpetsco/nutriale-liver-support-therapeutic-recipe-raw-dog-food-500gr
Dog & Cat Raw Food - Fresh Sirloin Beef Meat,Hewan Peliharaan,Rumahbully,Kota Administrasi Jakarta Timur,Jakarta,DKI Jakarta,80000,0.0,1000,150,4.9,https://www.tokopedia.com/rumahbully/dog-cat-raw-food-fresh-sirloin-beef-meat
Super Weight Booster | Duck & Turkey Super Premium Dog & Cat Raw Food,Hewan Peliharaan,Rumahbully,Kota Administrasi Jakarta Timur,Jakarta,DKI Jakarta,49999,0.0,250,80,5.0,https://www.tokopedia.com/rumahbully/super-weight-booster-duck-turkey-super-premium-dog-cat-raw-food
Complete Dog Raw food With offal & Vegetable - BEST LAMB - (250GR),Hewan Peliharaan,Rumahbully,Kota Administrasi Jakarta Timur,Jakarta,DKI Jakarta,79999,0.0,100,40,5.0,https://www.tokopedia.com/rumahbully/complete-dog-raw-food-with-offal-vegetable-best-lamb-250gr
Raw Rawr Kangaroo Raw Freeze Dried Dog & Cat Food,Hewan Peliharaan,Lush Pets Co,Kota Administrasi Jakarta Utara,Jakarta,DKI Jakarta,970000,0.0,21,5,5.0,https://www.tokopedia.com/lushpetsco/raw-rawr-kangaroo-raw-freeze-dried-dog-cat-food
RawRawr Freeze Dried Raw Food Dog Snack Lamb - Full Meal,Hewan Peliharaan,Lush Pets Co,Kota Administrasi Jakarta Barat,Jakarta,DKI Jakarta,90000,0.0,24,10,5.0,https://www.tokopedia.com/lushpetsco/rawrawr-freeze-dried-raw-food-dog-snack-lamb-full-meal
[5 KG] ALL BEST VARIANT TURKEY / LAMB / BEEF / DUCK,Lainnya,Rumahbully,Kota Administrasi Jakarta Timur,Jakarta,DKI Jakarta,389999,0.0,11,3,5.0,https://www.tokopedia.com/rumahbully/5-kg-all-best-variant-turkey-lamb-beef-duck
J.D Raw Food | Chicken Mix Vegetables 500gr Tanpa Tulang Bisa di Masak– Ayam Sayur Makanan Kucing & Anjing,Hewan Peliharaan,JD Raw Food,Jakarta Barat,Jakarta,DKI Jakarta,33000,0.0,8,0,5.0,https://www.tokopedia.com/jd-raw-food/j-d-raw-food-chicken-mix-vegetables-500gr-tanpa-tulang-bisa-di-masak
J.D Raw Food Ayam Giling Extra 1 kg untuk Anjing dan Kucing,Hewan Peliharaan,JD Raw Food,Jakarta Barat,Jakarta,DKI Jakarta,25000,0.0,66000,7426,5.0,https://www.tokopedia.com/jd-raw-food/jd-raw-food-ayam-giling-extra-1-kg-untuk-anjing-dan-kucing
Meatime Salmon 100% Raw Food Kucing Murni Daging Kaya Protein dan Omega 3,Hewan Peliharaan,Meatime Raw Food,Bandung,Bandung,Jawa Barat,45000,0.0,500,100,4.9,https://www.tokopedia.com/meatimerawfood/meatime-salmon-100-raw-food-kucing-murni-daging-kaya-protein
Meatime Tenderloin Daging Sapi Giling Super Tanpa Lemak RawFood Kucing,Hewan Peliharaan,Meatime Raw Food,Bandung,Bandung,Jawa Barat,56500,0.0,332,50,5.0,https://www.tokopedia.com/meatimerawfood/meatime-tenderloin-daging-sapi-giling-super-tanpa-lemak-rawfood
Meatime Briscat PAKET PROMO BELI 6 GRATIS 1 Makanan Kucing Matang Terlaris,Hewan Peliharaan,Meatime Raw Food,Bandung,Bandung,Jawa Barat,90000,14.3,1000,200,5.0,https://www.tokopedia.com/meatimerawfood/meatime-briscat-paket-promo-beli-6-gratis-1-makanan-kucing
The Honest Recipe Rabbit Romaine & Brown Ginger Raw Dog Food - Adult,Hewan Peliharaan,Lush Pets Co,Jakarta Utara,Jakarta,DKI Jakarta,98000,0.0,20,10,5.0,https://www.tokopedia.com/lushpetsco/the-honest-recipe-rabbit-romaine-brown-ginger-raw-dog-food-adult
Nutriale Skin Support Therapeutic Recipe Raw Dog Food - 500gr,Hewan Peliharaan,Lush Pets Co,Jakarta Utara,Jakarta,DKI Jakarta,150000,0.0,100,80,5.0,https://www.tokopedia.com/lushpetsco/nutriale-skin-support-therapeutic-recipe-raw-dog-food-500gr
DISKON Dog / Cat Raw Food Ayam Giling Tulang Halus 1 Kg,Hewan Peliharaan,Agoes Salim,Jakarta,Jakarta,DKI Jakarta,18500,10.0,50,20,4.8,https://www.tokopedia.com/agoessalim/diskon-dog-cat-raw-food-ayam-giling-tulang-halus-1-kg
